rank;signature;path;startLine;endLine;score
1;org.jsoup.parser$HtmlTreeBuilderState.process(Token,HtmlTreeBuilder);org/jsoup/parser/HtmlTreeBuilderState.java;13;33;1.0
2;org.jsoup.nodes$Element.elementSiblingIndex();org/jsoup/nodes/Element.java;549;557;0.7010218113411691
2;org.jsoup.nodes$Element.nextElementSibling();org/jsoup/nodes/Element.java;503;521;0.7010218113411691
2;org.jsoup.nodes$Element.previousElementSibling();org/jsoup/nodes/Element.java;523;537;0.7010218113411691
2;org.jsoup.nodes$Node.addSiblingHtml(int,String);org/jsoup/nodes/Node.java;335;342;0.7010218113411691
6;org.jsoup.select.Evaluator$IsLastChild.matches(Element,Element);org/jsoup/select/Evaluator.java;370;374;0.673389830395193
14;org.jsoup.nodes$Element.siblingElements();org/jsoup/nodes/Element.java;486;501;0.5327791747586232
38;org.jsoup.nodes$Element.indexInList(Element,List<E>);org/jsoup/nodes/Element.java;568;578;0.3709666914333195
64;org.jsoup.nodes$Element.children();org/jsoup/nodes/Element.java;175;192;0.24730580349527911
88;org.jsoup.nodes$Element.equals(Object);org/jsoup/nodes/Element.java;1183;1192;0.19110206237539162
89;org.jsoup.nodes$Element.parent();org/jsoup/nodes/Element.java;137;140;0.18235808216258825
312;org.jsoup.parser$Tag.equals(Object);org/jsoup/parser/Tag.java;180;197;0.11966806131490813
329;org.jsoup.nodes$Attributes.equals(Object);org/jsoup/nodes/Attributes.java;160;173;0.06639292860638911
329;org.jsoup.nodes$Node.equals(Object);org/jsoup/nodes/Node.java;584;599;0.06639292860638911
329;org.jsoup.nodes$TextNode.equals(Object);org/jsoup/nodes/TextNode.java;176;185;0.06639292860638911
471;org.jsoup.nodes$Element.id();org/jsoup/nodes/Element.java;100;107;0.0
