rank;signature;path;startLine;endLine;score
1;org.jsoup.nodes$Entities.getByName(String);org/jsoup/nodes/Entities.java;106;119;1.0
2;org.jsoup.parser$Parser.parseBodyFragment(String,String);org/jsoup/parser/Parser.java;130;150;0.999498997995992
3;org.jsoup.parser$HtmlTreeBuilder.insertEmpty(Token.StartTag);org/jsoup/parser/HtmlTreeBuilder.java;201;215;0.9993987975951903
4;org.jsoup.nodes$Node.remove();org/jsoup/nodes/Node.java;262;268;0.9988977955911824
5;org.jsoup.parser$CharacterReader.cacheString(int,int);org/jsoup/parser/CharacterReader.java;340;378;0.9986973947895792
6;org.jsoup.select$QueryParser.byAttribute();org/jsoup/select/QueryParser.java;229;261;0.998496993987976
7;org.jsoup.parser$Tokeniser.error(TokeniserState);org/jsoup/parser/Tokeniser.java;240;243;0.9983967935871744
14;org.jsoup.parser$HtmlTreeBuilder.parseFragment(String,Element,String,ParseErrorList,ParseSettings);org/jsoup/parser/HtmlTreeBuilder.java;59;108;0.9930861723446894
126;org.jsoup.nodes$Attribute.Attribute(String,String);org/jsoup/nodes/Attribute.java;25;36;0.9380761523046092
130;org.jsoup.parser$HtmlTreeBuilder.insertStartTag(String);org/jsoup/parser/HtmlTreeBuilder.java;190;194;0.9370741482965932
137;org.jsoup.parser$Parser.parse(String,String);org/jsoup/parser/Parser.java;90;101;0.9352705410821643
138;org.jsoup.parser$Tokeniser.emit(String);org/jsoup/parser/Tokeniser.java;86;98;0.9344689378757515
151;org.jsoup.parser$CharacterReader.rangeEquals(int,int,String);org/jsoup/parser/CharacterReader.java;380;395;0.9318637274549099
689;org.jsoup.helper$DataUtil.parseByteData(ByteBuffer,String,String,Parser);org/jsoup/helper/DataUtil.java;94;140;0.7193386773547095
729;org.jsoup.parser$HtmlTreeBuilderState.process(Token,HtmlTreeBuilder);org/jsoup/parser/HtmlTreeBuilderState.java;94;158;0.5919839679358717
742;org.jsoup.parser$TokeniserState.read(Tokeniser,CharacterReader);org/jsoup/parser/TokeniserState.java;99;121;0.4590180360721443
751;org.jsoup.safety$Whitelist.relaxed();org/jsoup/safety/Whitelist.java;141;180;0.36933867735470943
769;org.jsoup.select.Evaluator$Attribute.matches(Element,Element);org/jsoup/select/Evaluator.java;130;133;0.3003006012024048
770;org.jsoup.select.Evaluator$Attribute.Attribute(String);org/jsoup/select/Evaluator.java;126;128;0.3
