corpus_id;path;startLine;endLine
org.jsoup$UncheckedIOException.UncheckedIOException(IOException);org/jsoup/UncheckedIOException.java;6;8
org.jsoup.examples$HtmlToPlainText.main(String);org/jsoup/examples/HtmlToPlainText.java;34;54
org.jsoup.examples$Wikipedia.main(String[]);org/jsoup/examples/Wikipedia.java;14;22
org.jsoup.helper$DataUtil.parseInputStream(InputStream,String,String,Parser);org/jsoup/helper/DataUtil.java;93;157
org.jsoup.helper$HttpConnection.connect(String);org/jsoup/helper/HttpConnection.java;74;78
org.jsoup.helper$HttpConnection.encodeUrl(String);org/jsoup/helper/HttpConnection.java;86;98
org.jsoup.helper$HttpConnection.timeout(int);org/jsoup/helper/HttpConnection.java;157;160
org.jsoup.helper.HttpConnection$Request.timeout(int);org/jsoup/helper/HttpConnection.java;582;586
org.jsoup.helper.HttpConnection$Request.parser();org/jsoup/helper/HttpConnection.java;658;660
org.jsoup.helper.HttpConnection$Response.execute(Connection.Request,Response);org/jsoup/helper/HttpConnection.java;711;807
org.jsoup.helper$W3CDom.fromJsoup(org.jsoup.nodes.Document);org/jsoup/helper/W3CDom.java;31;49
org.jsoup.internal$ConstrainableInputStream.read(byte[],int,int);org/jsoup/internal/ConstrainableInputStream.java;48;70
org.jsoup.internal$ConstrainableInputStream.readToByteBuffer(int);org/jsoup/internal/ConstrainableInputStream.java;72;99
org.jsoup.parser$CharacterReader.bufferUp();org/jsoup/parser/CharacterReader.java;46;65
org.jsoup.parser$HtmlTreeBuilderState.process(Token,HtmlTreeBuilder);org/jsoup/parser/HtmlTreeBuilderState.java;18;40
org.jsoup.parser$Parser.parseInput(String,String);org/jsoup/parser/Parser.java;32;35
org.jsoup.parser$Tokeniser.read();org/jsoup/parser/Tokeniser.java;43;61
org.jsoup.parser$TreeBuilder.parse(Reader,String,ParseErrorList,ParseSettings);org/jsoup/parser/TreeBuilder.java;43;47
