Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,2.0,7.0,0,1,1,1,1,0.625,27260,6144,796,0.001377
Agent4LR-M1R1-M1R1-M2R1,1.0,6.5,1,1,1,1,1,0.625,27260,6144,796,0.002182
Agent4LR-M1R1-M1R1-M2R2,1.0,6.5,1,1,1,1,1,0.625,27260,6144,911,0.002412
Agent4LR-M1R1-M1R1-M2R3,1.0,6.5,1,1,1,1,1,0.625,27260,6144,1537,0.003664
Agent4LR-M1R1-M1R1-M3R1,1.0,6.5,1,1,1,1,1,0.625,27260,6144,796,0.006204
Agent4LR-M1R1-M2R1-M1R1,2.0,7.0,0,1,1,1,1,0.625,28468,5376,759,0.005809
Agent4LR-M1R1-M2R1-M2R1,2.0,7.0,0,1,1,1,1,0.625,28468,5376,759,0.006631
Agent4LR-M1R1-M2R2-M1R1,2.0,7.0,0,1,1,1,1,0.625,6599,1408,790,0.001951
Agent4LR-M1R1-M2R3-M1R1,2.0,7.0,0,1,1,1,1,0.625,11163,3200,2330,0.005704
Agent4LR-M1R1-M3R1-M1R1,2.0,3.5,0,1,1,1,1,0.1875,16695,10112,707,0.010131
Agent4LR-M1R1-M3R1-M3R1,1.0,2.0,1,1,1,1,1,0.0625,16695,8192,707,0.013959
Agent4LR-M2R1-M1R1-M1R1,2.0,7.0,0,1,1,1,1,0.625,22470,6144,521,0.001476
Agent4LR-M2R1-M1R1-M2R1,1.0,6.5,1,1,1,1,1,0.625,22470,6144,521,0.002220
Agent4LR-M2R1-M2R1-M1R1,2.0,2.5,0,1,1,1,1,0.0625,22716,5504,465,0.004627
Agent4LR-M2R1-M2R1-M2R1,2.0,7.0,0,1,1,1,1,0.625,22716,5504,465,0.005371
Agent4LR-M2R1-M2R1-M2R2,1.0,6.5,1,1,1,1,1,0.625,22716,5504,570,0.005581
Agent4LR-M2R1-M2R1-M2R3,1.0,6.5,1,1,1,1,1,0.625,22716,5504,1527,0.007495
Agent4LR-M2R1-M2R1-M3R1,1.0,6.5,1,1,1,1,1,0.625,22716,5504,465,0.009091
Agent4LR-M2R1-M2R2-M2R1,1.0,6.5,1,1,1,1,1,0.625,12396,0,634,0.004367
Agent4LR-M2R1-M2R3-M2R1,2.0,7.0,0,1,1,1,1,0.625,9867,1664,1315,0.004722
Agent4LR-M2R1-M3R1-M2R1,1.0,6.5,1,1,1,1,1,0.625,11996,4736,427,0.010667
Agent4LR-M2R1-M3R1-M3R1,1.0,6.5,1,1,1,1,1,0.625,11996,3072,427,0.013567
Agent4LR-M2R2-M1R1-M1R1,2.0,7.0,0,1,1,1,1,0.625,33356,3584,1226,0.003530
Agent4LR-M2R2-M1R1-M2R2,1.0,6.5,1,1,1,1,1,0.625,33356,3584,1502,0.005222
Agent4LR-M2R2-M1R1-M2R3,1.0,6.5,1,1,1,1,1,0.625,33356,3584,2359,0.006936
Agent4LR-M2R2-M1R1-M3R1,1.0,2.0,1,1,1,1,1,0.0625,33356,3584,1226,0.010372
Agent4LR-M2R2-M2R1-M2R1,1.0,6.5,1,1,1,1,1,0.625,22896,4736,1187,0.007032
Agent4LR-M2R2-M2R2-M2R2,1.0,6.5,1,1,1,1,1,0.625,12122,3200,1865,0.006041
Agent4LR-M2R2-M2R2-M2R3,1.0,6.5,1,1,1,1,1,0.625,12122,3200,2697,0.007705
Agent4LR-M2R2-M2R2-M3R1,1.0,6.5,1,1,1,1,1,0.625,12122,3200,1752,0.008481
Agent4LR-M2R2-M3R1-M3R1,1.0,3.0,1,1,1,1,1,0.1875,12122,6144,1093,0.011425
Agent4LR-M2R3-M1R1-M1R1,2.0,2.5,0,1,1,1,1,0.0625,4351,0,692,0.001575
Agent4LR-M2R3-M2R1-M2R1,1.0,6.5,1,1,1,1,1,0.625,22306,2688,930,0.006832
Agent4LR-M2R3-M2R3-M2R3,1.0,6.5,1,1,1,1,1,0.625,9621,1536,4361,0.010782
Agent4LR-M2R3-M3R1-M3R1,1.0,3.0,1,1,1,1,1,0.1875,9621,2688,814,0.011740
Agent4LR-M3R1-M1R1-M1R1,2.0,2.5,0,1,1,1,1,0.0625,5884,0,781,0.007809
Agent4LR-M3R1-M1R1-M3R1,1.0,2.0,1,1,1,1,1,0.0625,5884,0,781,0.010562
Agent4LR-M3R1-M2R1-M2R1,1.0,2.0,1,1,1,1,1,0.0625,31621,2688,971,0.015244
Agent4LR-M3R1-M2R1-M3R1,1.0,2.0,1,1,1,1,1,0.0625,31621,2688,971,0.019545
Agent4LR-M3R1-M2R2-M3R1,1.0,2.0,1,1,1,1,1,0.0625,13430,7424,1010,0.010526
Agent4LR-M3R1-M2R3-M3R1,1.0,2.0,1,1,1,1,1,0.0625,23978,14464,2396,0.015105
Agent4LR-M3R1-M3R1-M1R1,2.0,2.5,0,1,1,1,1,0.0625,22321,9856,997,0.022377
Agent4LR-M3R1-M3R1-M2R1,1.0,2.5,1,1,1,1,1,0.125,22321,9856,997,0.023111
Agent4LR-M3R1-M3R1-M2R2,1.0,2.0,1,1,1,1,1,0.0625,22321,9856,1219,0.023555
Agent4LR-M3R1-M3R1-M2R3,1.0,2.0,1,1,1,1,1,0.0625,22321,9856,1338,0.023793
Agent4LR-M3R1-M3R1-M3R1,1.0,2.0,1,1,1,1,1,0.0625,22321,9856,997,0.026783
