rank;signature;path;startLine;endLine;score
1;org.apache.commons.jxpath.ri.compiler$CoreFunction.computeValue(EvalContext);org/apache/commons/jxpath/ri/compiler/CoreFunction.java;249;317;0.7071067811865475
1;org.apache.commons.jxpath.ri.compiler$CoreFunction.functionNamespaceURI(EvalContext);org/apache/commons/jxpath/ri/compiler/CoreFunction.java;445;467;0.7071067811865475
1;org.apache.commons.jxpath.ri.model.dom$DOMAttributeIterator.DOMAttributeIterator(NodePointer,QName);org/apache/commons/jxpath/ri/model/dom/DOMAttributeIterator.java;42;66;0.7071067811865475
1;org.apache.commons.jxpath.ri.model.dom$DOMAttributeIterator.testAttr(Attr);org/apache/commons/jxpath/ri/model/dom/DOMAttributeIterator.java;68;98;0.7071067811865475
1;org.apache.commons.jxpath.ri.model.dom$DOMAttributePointer.getNamespaceURI();org/apache/commons/jxpath/ri/model/dom/DOMAttributePointer.java;47;50;0.7071067811865475
1;org.apache.commons.jxpath.ri.model.jdom$JDOMAttributeIterator.JDOMAttributeIterator(NodePointer,QName);org/apache/commons/jxpath/ri/model/jdom/JDOMAttributeIterator.java;41;88;0.7071067811865475
1;org.apache.commons.jxpath.ri.model.jdom$JDOMAttributePointer.getNamespaceURI();org/apache/commons/jxpath/ri/model/jdom/JDOMAttributePointer.java;52;61;0.7071067811865475
1;org.apache.commons.jxpath.ri.parser$XPathParser.CoreFunctionName();org/apache/commons/jxpath/ri/parser/XPathParser.java;175;305;0.7071067811865475
1;org.apache.commons.jxpath.ri.parser$XPathParser.jj_3R_18();org/apache/commons/jxpath/ri/parser/XPathParser.java;1897;1990;0.7071067811865475
1;org.apache.commons.jxpath.ri.parser$XPathParser.jj_3R_67();org/apache/commons/jxpath/ri/parser/XPathParser.java;3496;3500;0.7071067811865475
51;org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.getNamespaceURI(String);org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java;250;302;0.35355339059327373
449;org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.testNode(Node,NodeTest);org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java;111;166;0.11624763874381928
450;org.apache.commons.jxpath.ri.model.dom$DOMNodeIterator.next();org/apache/commons/jxpath/ri/model/dom/DOMNodeIterator.java;103;138;0.11180339887498948
473;org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.escape(String);org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java;620;652;0.0
473;org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.stringValue(Node);org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java;814;840;0.0
