Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,8999,2176,952,0.000723
Agent4LR-M1R1-M1R1-M2R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,8999,2176,952,0.001310
Agent4LR-M1R1-M1R1-M2R2,12.0,12.0,0,0,0,0,0,0.6470588235294118,8999,2176,1078,0.001562
Agent4LR-M1R1-M1R1-M2R3,3.0,3.0,0,0,1,1,1,0.11764705882352941,8999,2176,1493,0.002392
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,8999,2176,952,0.004246
Agent4LR-M1R1-M2R1-M1R1,5.0,5.0,0,0,0,0,1,0.23529411764705882,37057,15104,1165,0.005891
Agent4LR-M1R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,37057,13696,1165,0.006852
Agent4LR-M1R1-M2R2-M1R1,3.0,3.0,0,0,1,1,1,0.11764705882352941,37160,21120,1207,0.004422
Agent4LR-M1R1-M2R3-M1R1,3.0,3.0,0,0,1,1,1,0.11764705882352941,33743,21248,3021,0.007608
Agent4LR-M1R1-M3R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,34215,22272,1218,0.017247
Agent4LR-M1R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,34215,19968,1218,0.022519
Agent4LR-M2R1-M1R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,29791,12032,566,0.001823
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,29791,12032,566,0.002545
Agent4LR-M2R1-M2R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,29875,19712,552,0.003372
Agent4LR-M2R1-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,29875,19712,552,0.004138
Agent4LR-M2R1-M2R1-M2R2,2.0,2.0,0,1,1,1,1,0.058823529411764705,29875,19712,804,0.004642
Agent4LR-M2R1-M2R1-M2R3,2.0,2.0,0,1,1,1,1,0.058823529411764705,29875,19712,976,0.004986
Agent4LR-M2R1-M2R1-M3R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,29875,19712,552,0.007968
Agent4LR-M2R1-M2R2-M2R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,30419,9472,1040,0.007554
Agent4LR-M2R1-M2R3-M2R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,30776,14976,3165,0.010654
Agent4LR-M2R1-M3R1-M2R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,32120,16000,641,0.022666
Agent4LR-M2R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,32120,15744,641,0.025335
Agent4LR-M2R2-M1R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,31628,8832,1094,0.003084
Agent4LR-M2R2-M1R1-M2R2,4.0,4.0,0,0,0,1,1,0.17647058823529413,31628,7424,1520,0.004761
Agent4LR-M2R2-M1R1-M2R3,4.0,4.0,0,0,0,1,1,0.17647058823529413,31628,7424,1992,0.005705
Agent4LR-M2R2-M1R1-M3R1,3.0,3.0,0,0,1,1,1,0.11764705882352941,31628,7424,1094,0.007685
Agent4LR-M2R2-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,32810,6912,1066,0.008779
Agent4LR-M2R2-M2R2-M2R2,4.0,4.0,0,0,0,1,1,0.17647058823529413,32283,21888,1568,0.006282
Agent4LR-M2R2-M2R2-M2R3,4.0,4.0,0,0,0,1,1,0.17647058823529413,32283,21888,1533,0.006212
Agent4LR-M2R2-M2R2-M3R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,32283,21888,1309,0.009755
Agent4LR-M2R2-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,22874,15360,1047,0.014269
Agent4LR-M2R3-M1R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,27415,15488,772,0.001900
Agent4LR-M2R3-M2R1-M2R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,28672,5760,805,0.007482
Agent4LR-M2R3-M2R3-M2R3,2.0,2.0,0,1,1,1,1,0.058823529411764705,22008,11264,5680,0.014328
Agent4LR-M2R3-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,28674,20608,842,0.016141
Agent4LR-M3R1-M1R1-M1R1,12.0,12.0,0,0,0,0,0,0.6470588235294118,8786,4992,881,0.009829
Agent4LR-M3R1-M1R1-M3R1,3.0,3.0,0,0,1,1,1,0.11764705882352941,8786,4992,881,0.011753
Agent4LR-M3R1-M2R1-M2R1,3.0,3.0,0,0,1,1,1,0.11764705882352941,37515,4096,1066,0.018326
Agent4LR-M3R1-M2R1-M3R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,37515,6272,1066,0.020322
Agent4LR-M3R1-M2R2-M3R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,36843,22272,1318,0.016883
Agent4LR-M3R1-M2R3-M3R1,3.0,3.0,0,0,1,1,1,0.11764705882352941,29617,17920,1874,0.016923
Agent4LR-M3R1-M3R1-M1R1,3.0,3.0,0,0,1,1,1,0.11764705882352941,37372,25216,1183,0.027414
Agent4LR-M3R1-M3R1-M2R1,3.0,3.0,0,0,1,1,1,0.11764705882352941,37372,23040,1183,0.028372
Agent4LR-M3R1-M3R1-M2R2,3.0,3.0,0,0,1,1,1,0.11764705882352941,37372,23040,1376,0.028758
Agent4LR-M3R1-M3R1-M2R3,3.0,3.0,0,0,1,1,1,0.11764705882352941,37372,23040,1598,0.029202
Agent4LR-M3R1-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.058823529411764705,37372,23040,1183,0.032625
