corpus_id;path;startLine;endLine
org.apache.commons.jxpath$AbstractFactory.createObject(JXPathContext,Pointer,Object,String,int);org/apache/commons/jxpath/AbstractFactory.java;34;59
org.apache.commons.jxpath$JXPathContext.getContextFactory();org/apache/commons/jxpath/JXPathContext.java;418;426
org.apache.commons.jxpath$JXPathContext.JXPathContext(JXPathContext,Object);org/apache/commons/jxpath/JXPathContext.java;428;435
org.apache.commons.jxpath.ri$JXPathContextReferenceImpl.createNodeFactoryArray();org/apache/commons/jxpath/ri/JXPathContextReferenceImpl.java;165;178
org.apache.commons.jxpath.ri$JXPathContextReferenceImpl.getNodePointerFactories();org/apache/commons/jxpath/ri/JXPathContextReferenceImpl.java;192;194
org.apache.commons.jxpath.ri$JXPathContextReferenceImpl.JXPathContextReferenceImpl(JXPathContext,Object);org/apache/commons/jxpath/ri/JXPathContextReferenceImpl.java;122;126
org.apache.commons.jxpath.ri$JXPathContextReferenceImpl.JXPathContextReferenceImpl(JXPathContext,Object,Pointer);org/apache/commons/jxpath/ri/JXPathContextReferenceImpl.java;128;163
org.apache.commons.jxpath.ri.model$NodePointer.newNodePointer(QName,Object,Locale);org/apache/commons/jxpath/ri/model/NodePointer.java;51;77
org.apache.commons.jxpath.ri.model$NodePointer.newChildNodePointer(NodePointer,QName,Object);org/apache/commons/jxpath/ri/model/NodePointer.java;79;100
org.apache.commons.jxpath.ri.model.beans$CollectionPointerFactory.createNodePointer(QName,Object,Locale);org/apache/commons/jxpath/ri/model/beans/CollectionPointerFactory.java;40;49
org.apache.commons.jxpath.ri.model.beans$NullElementPointer.createPath(JXPathContext);org/apache/commons/jxpath/ri/model/beans/NullElementPointer.java;82;84
org.apache.commons.jxpath.ri.model.beans$NullElementPointer.createPath(JXPathContext,Object);org/apache/commons/jxpath/ri/model/beans/NullElementPointer.java;86;88
org.apache.commons.jxpath.ri.model.beans$NullPointer.createPath(JXPathContext,Object);org/apache/commons/jxpath/ri/model/beans/NullPointer.java;75;83
org.apache.commons.jxpath.ri.model.beans$NullPropertyPointer.createPath(JXPathContext);org/apache/commons/jxpath/ri/model/beans/NullPropertyPointer.java;103;128
org.apache.commons.jxpath.ri.model.beans$NullPropertyPointer.createPath(JXPathContext,Object);org/apache/commons/jxpath/ri/model/beans/NullPropertyPointer.java;130;144
org.apache.commons.jxpath.ri.model.dynamic$DynamicPropertyPointer.createPath(JXPathContext);org/apache/commons/jxpath/ri/model/dynamic/DynamicPropertyPointer.java;208;240
org.apache.commons.jxpath.util$ValueUtils.isCollection(Object);org/apache/commons/jxpath/util/ValueUtils.java;47;62
org.apache.commons.jxpath.util$ValueUtils.getValue(Object);org/apache/commons/jxpath/util/ValueUtils.java;491;500
