rank;signature;path;startLine;endLine;score
1;org.apache.commons.jxpath.ri$JXPathContextReferenceImpl.getNodePointerFactories();org/apache/commons/jxpath/ri/JXPathContextReferenceImpl.java;192;194;1.0
2;org.apache.commons.jxpath.ri$JXPathContextReferenceImpl.JXPathContextReferenceImpl(JXPathContext,Object);org/apache/commons/jxpath/ri/JXPathContextReferenceImpl.java;122;126;0.9994687310261081
3;org.apache.commons.jxpath.ri$JXPathContextReferenceImpl.JXPathContextReferenceImpl(JXPathContext,Object,Pointer);org/apache/commons/jxpath/ri/JXPathContextReferenceImpl.java;128;163;0.9993928354584092
4;org.apache.commons.jxpath.ri$JXPathContextReferenceImpl.createNodeFactoryArray();org/apache/commons/jxpath/ri/JXPathContextReferenceImpl.java;165;178;0.9988615664845173
5;org.apache.commons.jxpath.util$ValueUtils.getValue(Object);org/apache/commons/jxpath/util/ValueUtils.java;491;500;0.9974954462659381
6;org.apache.commons.jxpath.ri.model$NodePointer.newNodePointer(QName,Object,Locale);org/apache/commons/jxpath/ri/model/NodePointer.java;51;77;0.9974195506982392
7;org.apache.commons.jxpath.ri.model.beans$CollectionPointerFactory.createNodePointer(QName,Object,Locale);org/apache/commons/jxpath/ri/model/beans/CollectionPointerFactory.java;40;49;0.9971918639951427
9;org.apache.commons.jxpath$JXPathContext.getContextFactory();org/apache/commons/jxpath/JXPathContext.java;418;426;0.9966605950212507
10;org.apache.commons.jxpath$JXPathContext.JXPathContext(JXPathContext,Object);org/apache/commons/jxpath/JXPathContext.java;428;435;0.9964329083181542
33;org.apache.commons.jxpath.ri.model.dynamic$DynamicPropertyPointer.createPath(JXPathContext);org/apache/commons/jxpath/ri/model/dynamic/DynamicPropertyPointer.java;208;240;0.9909684274438373
37;org.apache.commons.jxpath.ri.model.beans$NullPropertyPointer.createPath(JXPathContext);org/apache/commons/jxpath/ri/model/beans/NullPropertyPointer.java;103;128;0.9896782027929569
170;org.apache.commons.jxpath.ri.model$NodePointer.newChildNodePointer(NodePointer,QName,Object);org/apache/commons/jxpath/ri/model/NodePointer.java;79;100;0.9589404978749241
207;org.apache.commons.jxpath.util$ValueUtils.isCollection(Object);org/apache/commons/jxpath/util/ValueUtils.java;47;62;0.9499848208864602
605;org.apache.commons.jxpath.ri.model.beans$NullElementPointer.createPath(JXPathContext);org/apache/commons/jxpath/ri/model/beans/NullElementPointer.java;82;84;0.7978142076502732
606;org.apache.commons.jxpath.ri.model.beans$NullElementPointer.createPath(JXPathContext,Object);org/apache/commons/jxpath/ri/model/beans/NullElementPointer.java;86;88;0.7977383120825744
615;org.apache.commons.jxpath.ri.model.beans$NullPointer.createPath(JXPathContext,Object);org/apache/commons/jxpath/ri/model/beans/NullPointer.java;75;83;0.7963721918639951
616;org.apache.commons.jxpath.ri.model.beans$NullPropertyPointer.createPath(JXPathContext,Object);org/apache/commons/jxpath/ri/model/beans/NullPropertyPointer.java;130;144;0.7958409228901032
946;org.apache.commons.jxpath$AbstractFactory.createObject(JXPathContext,Pointer,Object,String,int);org/apache/commons/jxpath/AbstractFactory.java;34;59;0.5777170613236187
