path,line,signature
org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,296,org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.getLanguage()
org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,301,org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.getLanguage()
org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,310,
org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,631,org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.getValue()
org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,638,org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.stringValue(Node)
org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,640,org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.stringValue(Node)
org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,643,org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.stringValue(Node)
org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,647,org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.stringValue(Node)
org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,653,org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.stringValue(Node)
org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,658,org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.stringValue(Node)
org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,660,org.apache.commons.jxpath.ri.model.dom$DOMNodePointer.stringValue(Node)
org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,240,org.apache.commons.jxpath.ri.model.jdom$JDOMNodePointer.getValue()
org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,248,org.apache.commons.jxpath.ri.model.jdom$JDOMNodePointer.getValue()
org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,250,org.apache.commons.jxpath.ri.model.jdom$JDOMNodePointer.getValue()
org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,256,org.apache.commons.jxpath.ri.model.jdom$JDOMNodePointer.getValue()
org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,262,org.apache.commons.jxpath.ri.model.jdom$JDOMNodePointer.getValue()
org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,436,org.apache.commons.jxpath.ri.model.jdom$JDOMNodePointer.getLanguage()
org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,440,org.apache.commons.jxpath.ri.model.jdom$JDOMNodePointer.getLanguage()
org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,756,
