rank;signature;path;startLine;endLine;score
1;org.apache.commons.lang3.time$DateUtils.isSameLocalTime(Calendar,Calendar);org/apache/commons/lang3/time/DateUtils.java;246;270;1.0
2;org.apache.commons.lang3.time$DateUtils.DateUtils();org/apache/commons/lang3/time/DateUtils.java;149;159;0.0
2;org.apache.commons.lang3.time$DateUtils.add(Date,int,int);org/apache/commons/lang3/time/DateUtils.java;474;492;0.0
2;org.apache.commons.lang3.time$DateUtils.addDays(Date,int);org/apache/commons/lang3/time/DateUtils.java;404;415;0.0
2;org.apache.commons.lang3.time$DateUtils.addHours(Date,int);org/apache/commons/lang3/time/DateUtils.java;418;429;0.0
2;org.apache.commons.lang3.time$DateUtils.addMilliseconds(Date,int);org/apache/commons/lang3/time/DateUtils.java;460;471;0.0
2;org.apache.commons.lang3.time$DateUtils.getFragment(Calendar,int,int);org/apache/commons/lang3/time/DateUtils.java;1659;1710;0.0
2;org.apache.commons.lang3.time$DateUtils.getMillisPerUnit(int);org/apache/commons/lang3/time/DateUtils.java;1786;1816;0.0
2;org.apache.commons.lang3.time$DateUtils.isSameDay(Calendar,Calendar);org/apache/commons/lang3/time/DateUtils.java;186;206;0.0
2;org.apache.commons.lang3.time$DateUtils.isSameDay(Date,Date);org/apache/commons/lang3/time/DateUtils.java;162;184;0.0
2;org.apache.commons.lang3.time$DateUtils.isSameInstant(Calendar,Calendar);org/apache/commons/lang3/time/DateUtils.java;227;243;0.0
2;org.apache.commons.lang3.time$DateUtils.isSameInstant(Date,Date);org/apache/commons/lang3/time/DateUtils.java;209;225;0.0
2;org.apache.commons.lang3.time$DateUtils.modify(Calendar,int,int);org/apache/commons/lang3/time/DateUtils.java;933;1077;0.0
2;org.apache.commons.lang3.time$DateUtils.toCalendar(Date);org/apache/commons/lang3/time/DateUtils.java;626;638;0.0
