Method,FR,AR,Top1,Top2,Top3,Top4,Top5,WE,InputTokens,CachedTokens,OutputTokens,CostUSD
Agent4LR-M1R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,11723,5376,898,0.000679
Agent4LR-M1R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,11723,5376,898,0.001219
Agent4LR-M1R1-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,11723,5376,1024,0.001471
Agent4LR-M1R1-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,11723,5376,1316,0.002055
Agent4LR-M1R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,11723,5376,898,0.003918
Agent4LR-M1R1-M2R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,32584,4992,1067,0.006960
Agent4LR-M1R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,32584,4992,1067,0.007782
Agent4LR-M1R1-M2R2-M1R1,1.0,1.0,1,1,1,1,1,0.0,18254,8320,1553,0.003785
Agent4LR-M1R1-M2R3-M1R1,1.0,1.0,1,1,1,1,1,0.0,18254,11008,3986,0.008518
Agent4LR-M1R1-M3R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,15261,9856,948,0.007590
Agent4LR-M1R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,15261,7936,948,0.011382
Agent4LR-M2R1-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,5597,1152,300,0.000898
Agent4LR-M2R1-M1R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,5597,1152,300,0.001294
Agent4LR-M2R1-M2R1-M1R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,25145,5120,518,0.005555
Agent4LR-M2R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,25145,5120,518,0.006170
Agent4LR-M2R1-M2R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,25145,5120,734,0.006602
Agent4LR-M2R1-M2R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,25145,5120,2587,0.010308
Agent4LR-M2R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,25145,5120,518,0.009246
Agent4LR-M2R1-M2R2-M2R1,1.0,1.0,1,1,1,1,1,0.0,12253,4736,797,0.003592
Agent4LR-M2R1-M2R3-M2R1,1.0,1.0,1,1,1,1,1,0.0,17144,8448,8567,0.019519
Agent4LR-M2R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,14652,7296,472,0.010994
Agent4LR-M2R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,14652,5504,472,0.014067
Agent4LR-M2R2-M1R1-M1R1,12.5,12.5,0,0,0,0,0,0.6388888888888888,23697,6272,1290,0.003229
Agent4LR-M2R2-M1R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,23697,6272,1449,0.004245
Agent4LR-M2R2-M1R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,23697,6272,1665,0.004677
Agent4LR-M2R2-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,23697,6272,1290,0.007419
Agent4LR-M2R2-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,28325,3456,1326,0.008956
Agent4LR-M2R2-M2R2-M2R2,1.0,1.0,1,1,1,1,1,0.0,15817,1792,1466,0.006483
Agent4LR-M2R2-M2R2-M2R3,1.0,1.0,1,1,1,1,1,0.0,15817,3456,1579,0.006335
Agent4LR-M2R2-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,15817,1792,1308,0.009323
Agent4LR-M2R2-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,21825,13568,1310,0.015925
Agent4LR-M2R3-M1R1-M1R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,23740,12800,1630,0.003436
Agent4LR-M2R3-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,25245,1664,1607,0.009151
Agent4LR-M2R3-M2R3-M2R3,1.0,1.0,1,1,1,1,1,0.0,19641,3328,9885,0.023931
Agent4LR-M2R3-M3R1-M3R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,14583,7808,1519,0.013483
Agent4LR-M3R1-M1R1-M1R1,1.0,1.0,1,1,1,1,1,0.0,30268,11264,953,0.007951
Agent4LR-M3R1-M1R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,30268,11264,953,0.012611
Agent4LR-M3R1-M2R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,22682,3328,802,0.012038
Agent4LR-M3R1-M2R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,22682,4352,802,0.014111
Agent4LR-M3R1-M2R2-M3R1,1.0,1.0,1,1,1,1,1,0.0,22700,11520,1033,0.012495
Agent4LR-M3R1-M2R3-M3R1,1.0,1.0,1,1,1,1,1,0.0,16985,6656,3343,0.016470
Agent4LR-M3R1-M3R1-M1R1,2.0,2.0,0,1,1,1,1,0.05555555555555555,11614,5248,742,0.012677
Agent4LR-M3R1-M3R1-M2R1,1.0,1.0,1,1,1,1,1,0.0,11614,5248,742,0.013237
Agent4LR-M3R1-M3R1-M2R2,1.0,1.0,1,1,1,1,1,0.0,11614,5248,941,0.013635
Agent4LR-M3R1-M3R1-M2R3,1.0,1.0,1,1,1,1,1,0.0,11614,5248,972,0.013697
Agent4LR-M3R1-M3R1-M3R1,1.0,1.0,1,1,1,1,1,0.0,11614,5248,742,0.016034
