rank;signature;path;startLine;endLine;score
1;org.apache.commons.lang3.time$FastDateFormat.getInstance(String,TimeZone);org/apache/commons/lang3/time/FastDateFormat.java;170;183;1.0
2;org.apache.commons.lang3.time$FastDateFormat.getInstance(String,TimeZone,Locale);org/apache/commons/lang3/time/FastDateFormat.java;199;221;0.9994329994329995
3;org.apache.commons.lang3.time$FastDateFormat.parsePattern();org/apache/commons/lang3/time/FastDateFormat.java;571;698;0.9987714987714987
4;org.apache.commons.lang3.time$FastDateFormat.format(Calendar,StringBuffer);org/apache/commons/lang3/time/FastDateFormat.java;862;876;0.9986769986769987
5;org.apache.commons.lang3$Validate.isTrue(boolean,String,long);org/apache/commons/lang3/Validate.java;100;124;0.9984879984879985
7;org.apache.commons.lang3.time$FastDateFormat.format(Calendar);org/apache/commons/lang3/time/FastDateFormat.java;825;833;0.998015498015498
17;org.apache.commons.lang3.time$FastDateFormat.getDateInstance(int,TimeZone,Locale);org/apache/commons/lang3/time/FastDateFormat.java;268;305;0.9961254961254962
53;org.apache.commons.lang3.time$FastDateFormat.format(Date);org/apache/commons/lang3/time/FastDateFormat.java;813;823;0.974012474012474
55;org.apache.commons.lang3.time$FastDateFormat.format(Date,StringBuffer);org/apache/commons/lang3/time/FastDateFormat.java;848;860;0.9736344736344736
246;org.apache.commons.lang3$BitField.set(int);org/apache/commons/lang3/BitField.java;214;224;0.8728028728028728
436;org.apache.commons.lang3$Range.is(T);org/apache/commons/lang3/Range.java;38;50;0.7759402759402759
1695;org.apache.commons.lang3.time$DateFormatUtils.format(Calendar,String,TimeZone,Locale);org/apache/commons/lang3/time/DateFormatUtils.java;304;318;0.11519561519561519
1738;org.apache.commons.lang3.time$DateUtils.round(Calendar,int);org/apache/commons/lang3/time/DateUtils.java;610;645;0.0892080892080892
1751;org.apache.commons.lang3.time$DurationFormatUtils.formatPeriod(long,long,String,boolean,TimeZone);org/apache/commons/lang3/time/DurationFormatUtils.java;251;404;0.07106407106407106
1753;org.apache.commons.lang3.time$DurationFormatUtils.lexx(String);org/apache/commons/lang3/time/DurationFormatUtils.java;484;544;0.059724059724059725
1772;org.apache.commons.lang3.time.FastDateFormat$PaddedNumberField.appendTo(StringBuffer,int);org/apache/commons/lang3/time/FastDateFormat.java;1295;1318;0.021073521073521072
1773;org.apache.commons.lang3.time.FastDateFormat$TwoDigitMonthField.appendTo(StringBuffer,Calendar);org/apache/commons/lang3/time/FastDateFormat.java;1419;1424;0.020695520695520695
1774;org.apache.commons.lang3.time.FastDateFormat$TwoDigitMonthField.appendTo(StringBuffer,int);org/apache/commons/lang3/time/FastDateFormat.java;1426;1432;0.020506520506520506
1775;org.apache.commons.lang3.time.FastDateFormat$PaddedNumberField.appendTo(StringBuffer,Calendar);org/apache/commons/lang3/time/FastDateFormat.java;1288;1293;0.01993951993951994
