corpus_id;path;startLine;endLine
org.apache.commons.lang$StringEscapeUtils.escapeJava(String);org/apache/commons/lang/StringEscapeUtils.java;59;82
org.apache.commons.lang$StringEscapeUtils.escapeJava(Writer,String);org/apache/commons/lang/StringEscapeUtils.java;84;98
org.apache.commons.lang$StringEscapeUtils.escapeJavaScript(String);org/apache/commons/lang/StringEscapeUtils.java;100;123
org.apache.commons.lang$StringEscapeUtils.escapeJavaScript(Writer,String);org/apache/commons/lang/StringEscapeUtils.java;125;139
org.apache.commons.lang$StringEscapeUtils.escapeJavaStyleString(String,boolean);org/apache/commons/lang/StringEscapeUtils.java;141;161
org.apache.commons.lang$StringEscapeUtils.escapeJavaStyleString(Writer,String,boolean);org/apache/commons/lang/StringEscapeUtils.java;163;242
org.apache.commons.lang$StringEscapeUtils.hex(char);org/apache/commons/lang/StringEscapeUtils.java;244;253
org.apache.commons.lang$StringEscapeUtils.unescapeJava(Writer,String);org/apache/commons/lang/StringEscapeUtils.java;279;376
org.apache.commons.lang$StringEscapeUtils.unescapeJavaScript(String);org/apache/commons/lang/StringEscapeUtils.java;378;391
org.apache.commons.lang$StringEscapeUtils.unescapeJavaScript(Writer,String);org/apache/commons/lang/StringEscapeUtils.java;393;411
org.apache.commons.lang$StringEscapeUtils.escapeHtml(String);org/apache/commons/lang/StringEscapeUtils.java;415;455
org.apache.commons.lang$StringEscapeUtils.escapeHtml(Writer,String);org/apache/commons/lang/StringEscapeUtils.java;457;494
org.apache.commons.lang$StringEscapeUtils.escapeXml(String);org/apache/commons/lang/StringEscapeUtils.java;587;609
org.apache.commons.lang$StringEscapeUtils.escapeSql(String);org/apache/commons/lang/StringEscapeUtils.java;662;685
org.apache.commons.lang$StringEscapeUtils.StringEscapeUtils();org/apache/commons/lang/StringEscapeUtils.java;43;55
org.apache.commons.lang$StringUtils.escape(String);org/apache/commons/lang/StringUtils.java;3717;3735
