rank;signature;path;startLine;endLine;score
1;org.apache.commons.math$ConvergenceException.ConvergenceException(String,Object[]);org/apache/commons/math/ConvergenceException.java;37;45;1.0
1;org.apache.commons.math$MathException.MathException(String,Object[]);org/apache/commons/math/MathException.java;143;155;1.0
1;org.apache.commons.math$MathException.buildMessage(String,Object[],Locale);org/apache/commons/math/MathException.java;104;116;1.0
1;org.apache.commons.math$MathException.translate(String,Locale);org/apache/commons/math/MathException.java;74;102;1.0
1;org.apache.commons.math$MaxIterationsExceededException.MaxIterationsExceededException(int);org/apache/commons/math/MaxIterationsExceededException.java;30;39;1.0
1;org.apache.commons.math.special$Gamma.regularizedGammaP(double,double,double,int);org/apache/commons/math/special/Gamma.java;124;187;1.0
7;org.apache.commons.math$MathException.getCause();org/apache/commons/math/MathException.java;229;236;0.7071067811865475
9;org.apache.commons.math.distribution$NormalDistributionImpl.cumulativeProbability(double);org/apache/commons/math/distribution/NormalDistributionImpl.java;100;111;0.35355339059327373
9;org.apache.commons.math.special$Erf.erf(double);org/apache/commons/math/special/Erf.java;41;61;0.35355339059327373
12;org.apache.commons.math.distribution$NormalDistributionImpl.NormalDistributionImpl(double,double);org/apache/commons/math/distribution/NormalDistributionImpl.java;44;53;0.22360679774997896
12;org.apache.commons.math.distribution$NormalDistributionImpl.setStandardDeviation(double);org/apache/commons/math/distribution/NormalDistributionImpl.java;87;98;0.22360679774997896
17;org.apache.commons.math.distribution$AbstractContinuousDistribution.inverseCumulativeProbability(double);org/apache/commons/math/distribution/AbstractContinuousDistribution.java;48;110;0.0
17;org.apache.commons.math.special$Gamma.regularizedGammaP(double,double);org/apache/commons/math/special/Gamma.java;109;121;0.0
