rank;signature;path;startLine;endLine;score
1;org.apache.commons.math.stat.descriptive$SummaryStatistics.setGeoMeanImpl(StorelessUnivariateStatistic);org/apache/commons/math/stat/descriptive/SummaryStatistics.java;561;579;1.0
2;org.apache.commons.math.stat.descriptive$SummaryStatistics.setVarianceImpl(StorelessUnivariateStatistic);org/apache/commons/math/stat/descriptive/SummaryStatistics.java;619;637;0.9999538500588412
3;org.apache.commons.math.util$FastMath.log(double,double[]);org/apache/commons/math/util/FastMath.java;1099;1325;0.9999077001176824
4;org.apache.commons.math.stat.descriptive$AbstractStorelessUnivariateStatistic.evaluate(double[]);org/apache/commons/math/stat/descriptive/AbstractStorelessUnivariateStatistic.java;39;63;0.9993077508826176
5;org.apache.commons.math.stat.descriptive$SummaryStatistics.setMeanImpl(StorelessUnivariateStatistic);org/apache/commons/math/stat/descriptive/SummaryStatistics.java;590;608;0.9992616009414588
6;org.apache.commons.math.stat.descriptive.moment$Variance.Variance(boolean);org/apache/commons/math/stat/descriptive/moment/Variance.java;116;127;0.9992385259708794
7;org.apache.commons.math.stat.descriptive.moment$Variance.evaluate(double[],double,int,int);org/apache/commons/math/stat/descriptive/moment/Variance.java;373;425;0.9991693010591411
8;org.apache.commons.math.stat.descriptive$AbstractUnivariateStatistic.test(double[],int,int,boolean);org/apache/commons/math/stat/descriptive/AbstractUnivariateStatistic.java;140;186;0.9991462260885617
9;org.apache.commons.math.stat.descriptive.summary$SumOfLogs.increment(double);org/apache/commons/math/stat/descriptive/summary/SumOfLogs.java;79;86;0.9990308512356647
10;org.apache.commons.math.stat.descriptive$SummaryStatistics.addValue(double);org/apache/commons/math/stat/descriptive/SummaryStatistics.java;145;168;0.9990077762650853
91;org.apache.commons.math.stat.descriptive$SummaryStatistics.getStandardDeviation();org/apache/commons/math/stat/descriptive/SummaryStatistics.java;208;225;0.9924314096499527
96;org.apache.commons.math.stat.descriptive$SummaryStatistics.getSecondMoment();org/apache/commons/math/stat/descriptive/SummaryStatistics.java;301;314;0.9922006599441586
99;org.apache.commons.math.stat.descriptive$SummaryStatistics.equals(Object);org/apache/commons/math/stat/descriptive/SummaryStatistics.java;361;385;0.9915776357385144
113;org.apache.commons.math.stat.descriptive$SummaryStatistics.getVarianceImpl();org/apache/commons/math/stat/descriptive/SummaryStatistics.java;610;617;0.9906777118859174
114;org.apache.commons.math.stat.descriptive$SummaryStatistics.checkEmpty();org/apache/commons/math/stat/descriptive/SummaryStatistics.java;639;647;0.990654636915338
116;org.apache.commons.math.stat.descriptive$SummaryStatistics.copy(SummaryStatistics,SummaryStatistics);org/apache/commons/math/stat/descriptive/SummaryStatistics.java;660;739;0.9905392620624409
3410;org.apache.commons.math.random$EmpiricalDistributionImpl.getNextValue();org/apache/commons/math/random/EmpiricalDistributionImpl.java;427;457;0.3372176200475344
3622;org.apache.commons.math.stat$StatUtils.normalize(double[]);org/apache/commons/math/stat/StatUtils.java;754;781;0.31017375452846296
3800;org.apache.commons.math.stat.descriptive$StatisticalSummaryValues.equals(Object);org/apache/commons/math/stat/descriptive/StatisticalSummaryValues.java;124;147;0.2873756835960034
4560;org.apache.commons.math.stat.descriptive$SummaryStatistics.getN();org/apache/commons/math/stat/descriptive/SummaryStatistics.java;170;176;0.008399289290906154
