corpus_id;path;startLine;endLine
org.apache.commons.math.analysis.interpolation$LoessInterpolator.smooth(double[],double[],double[]);org/apache/commons/math/analysis/interpolation/LoessInterpolator.java;183;347
org.apache.commons.math.complex$Complex.abs();org/apache/commons/math/complex/Complex.java;109;137
org.apache.commons.math.complex$Complex.add(Complex);org/apache/commons/math/complex/Complex.java;139;166
org.apache.commons.math.complex$Complex.divide(Complex);org/apache/commons/math/complex/Complex.java;206;281
org.apache.commons.math.complex$Complex.divide(double);org/apache/commons/math/complex/Complex.java;283;304
org.apache.commons.math.complex$Complex.equals(Object);org/apache/commons/math/complex/Complex.java;306;335
org.apache.commons.math.complex$Complex.getImaginary();org/apache/commons/math/complex/Complex.java;353;360
org.apache.commons.math.complex$Complex.getReal();org/apache/commons/math/complex/Complex.java;362;369
org.apache.commons.math.complex$Complex.isNaN();org/apache/commons/math/complex/Complex.java;371;380
org.apache.commons.math.complex$Complex.multiply(Complex);org/apache/commons/math/complex/Complex.java;395;434
org.apache.commons.math.complex$Complex.atan();org/apache/commons/math/complex/Complex.java;566;589
org.apache.commons.math.complex$Complex.nthRoot(int);org/apache/commons/math/complex/Complex.java;1062;1118
org.apache.commons.math.complex$Complex.toString();org/apache/commons/math/complex/Complex.java;1180;1184
org.apache.commons.math.stat.inference$MannWhitneyUTestImpl.calculateAsymptoticPValue(double,int,int);org/apache/commons/math/stat/inference/MannWhitneyUTestImpl.java;144;166
org.apache.commons.math.util$FastMath.tanh(double);org/apache/commons/math/util/FastMath.java;469;585
org.apache.commons.math.util$FastMath.log(double,double[]);org/apache/commons/math/util/FastMath.java;1259;1485
org.apache.commons.math.util$FastMath.atan2(double,double);org/apache/commons/math/util/FastMath.java;2966;3087
