rank;signature;path;startLine;endLine;score
1;org.apache.commons.math.geometry$Vector3D.crossProduct(Vector3D,Vector3D);org/apache/commons/math/geometry/Vector3D.java;452;475;1.0
2;org.apache.commons.math.geometry$Rotation.Rotation(Vector3D,Vector3D,Vector3D,Vector3D);org/apache/commons/math/geometry/Rotation.java;295;433;0.8332677293878562
3;org.apache.commons.math.geometry$Vector3D.angle(Vector3D,Vector3D);org/apache/commons/math/geometry/Vector3D.java;324;356;0.8315228922178175
4;org.apache.commons.math.geometry$Vector3D.dotProduct(Vector3D,Vector3D);org/apache/commons/math/geometry/Vector3D.java;443;450;0.6791357984226338
5;org.apache.commons.math.geometry$Rotation.getAngles(RotationOrder);org/apache/commons/math/geometry/Rotation.java;576;832;0.6498887099735083
6;org.apache.commons.math.geometry$Vector3D.distanceSq(Vector3D,Vector3D);org/apache/commons/math/geometry/Vector3D.java;522;535;0.5517196031699086
8;org.apache.commons.math.geometry$Vector3D.distance1(Vector3D,Vector3D);org/apache/commons/math/geometry/Vector3D.java;477;490;0.5423401707110254
14;org.apache.commons.math.geometry$Vector3D.Vector3D(double,Vector3D,double,Vector3D,double,Vector3D);org/apache/commons/math/geometry/Vector3D.java;140;155;0.3543753162142176
21;org.apache.commons.math.geometry$Vector3D.Vector3D(double,Vector3D,double,Vector3D);org/apache/commons/math/geometry/Vector3D.java;126;138;0.3408874723682747
25;org.apache.commons.math.geometry$Vector3D.Vector3D(double,Vector3D);org/apache/commons/math/geometry/Vector3D.java;114;124;0.3284445434853959
42;org.apache.commons.math.geometry$Vector3D.Vector3D(double,double,double);org/apache/commons/math/geometry/Vector3D.java;84;97;0.2613191376408934
49;org.apache.commons.math.geometry$Vector3DFormat.getInstance();org/apache/commons/math/geometry/Vector3DFormat.java;154;160;0.2538774318367361
61;org.apache.commons.math.geometry$Vector3D.Vector3D(double,double);org/apache/commons/math/geometry/Vector3D.java;99;112;0.22223411416418906
618;org.apache.commons.math.linear$ArrayRealVector.ArrayRealVector(RealVector);org/apache/commons/math/linear/ArrayRealVector.java;164;178;0.026770521553091165
635;org.apache.commons.math.linear$OpenMapRealVector.OpenMapRealVector(OpenMapRealVector);org/apache/commons/math/linear/OpenMapRealVector.java;174;183;0.026196405255213624
839;org.apache.commons.math.geometry$Vector3D.getX();org/apache/commons/math/geometry/Vector3D.java;176;182;0.0
839;org.apache.commons.math.geometry$Vector3D.getY();org/apache/commons/math/geometry/Vector3D.java;184;190;0.0
839;org.apache.commons.math.geometry$Vector3D.getZ();org/apache/commons/math/geometry/Vector3D.java;192;198;0.0
