path,line,signature
org/apache/commons/math3/optim/BaseOptimizer.java,51,org.apache.commons.math3.optim$BaseOptimizer.BaseOptimizer(ConvergenceChecker<PAIR>)
org/apache/commons/math3/optim/nonlinear/scalar/gradient/NonLinearConjugateGradientOptimizer.java,214,org.apache.commons.math3.optim.nonlinear.scalar.gradient$NonLinearConjugateGradientOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/scalar/gradient/NonLinearConjugateGradientOptimizer.java,217,org.apache.commons.math3.optim.nonlinear.scalar.gradient$NonLinearConjugateGradientOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/scalar/gradient/NonLinearConjugateGradientOptimizer.java,223,org.apache.commons.math3.optim.nonlinear.scalar.gradient$NonLinearConjugateGradientOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/scalar/gradient/NonLinearConjugateGradientOptimizer.java,277,org.apache.commons.math3.optim.nonlinear.scalar.gradient$NonLinearConjugateGradientOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/CMAESOptimizer.java,387,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$CMAESOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/PowellOptimizer.java,191,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$PowellOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/PowellOptimizer.java,193,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$PowellOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/PowellOptimizer.java,227,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$PowellOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/SimplexOptimizer.java,158,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$SimplexOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/SimplexOptimizer.java,175,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$SimplexOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/vector/jacobian/GaussNewtonOptimizer.java,106,org.apache.commons.math3.optim.nonlinear.vector.jacobian$GaussNewtonOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/vector/jacobian/GaussNewtonOptimizer.java,108,org.apache.commons.math3.optim.nonlinear.vector.jacobian$GaussNewtonOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/vector/jacobian/GaussNewtonOptimizer.java,160,org.apache.commons.math3.optim.nonlinear.vector.jacobian$GaussNewtonOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/vector/jacobian/LevenbergMarquardtOptimizer.java,322,org.apache.commons.math3.optim.nonlinear.vector.jacobian$LevenbergMarquardtOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/vector/jacobian/LevenbergMarquardtOptimizer.java,325,org.apache.commons.math3.optim.nonlinear.vector.jacobian$LevenbergMarquardtOptimizer.doOptimize()
org/apache/commons/math3/optim/nonlinear/vector/jacobian/LevenbergMarquardtOptimizer.java,489,org.apache.commons.math3.optim.nonlinear.vector.jacobian$LevenbergMarquardtOptimizer.doOptimize()
