rank;signature;path;startLine;endLine;score
1;org.mockito.internal$MockitoCore.reset(T);org/mockito/internal/MockitoCore.java;76;84;1.0
2;org.mockito.internal$MockitoCore.validateMockitoUsage();org/mockito/internal/MockitoCore.java;142;144;0.9989697094580672
3;org.mockito.exceptions.verification$WantedButNotInvoked.toString();org/mockito/exceptions/verification/WantedButNotInvoked.java;19;22;0.9987636513496806
4;org.mockito.internal.matchers$Any.describeTo(Description);org/mockito/internal/matchers/Any.java;25;27;0.998557593241294
5;org.mockito.exceptions$Reporter.wantedButNotInvoked(PrintableInvocation,List<? extends PrintableInvocation>);org/mockito/exceptions/Reporter.java;255;270;0.9983515351329075
6;org.mockito$Matchers.any(Class<T>);org/mockito/Matchers.java;232;247;0.9981454770245209
7;org.mockito.internal.creation$MockSettingsImpl.invocationListeners(InvocationListener);org/mockito/internal/creation/MockSettingsImpl.java;97;108;0.9979394189161344
8;org.mockito.internal$MockHandler.MockHandler(MockHandlerInterface<T>);org/mockito/internal/MockHandler.java;51;53;0.9964970121574284
9;org.mockito.internal.util$MockUtil.resetMock(T);org/mockito/internal/util/MockUtil.java;62;67;0.9962909540490418
10;org.mockito$Mockito.reset(T);org/mockito/Mockito.java;1256;1285;0.9954667216154955
45;org.mockito.internal.creation$MethodInterceptorFilter.intercept(Object,Method,Object[],MethodProxy);org/mockito/internal/creation/MethodInterceptorFilter.java;33;49;0.9822790026787555
81;org.mockito.internal.creation.jmock$SearchingClassLoader.combineLoadersOf(Class<?>,Class<?>);org/mockito/internal/creation/jmock/SearchingClassLoader.java;28;51;0.9612610756233257
124;org.mockito.internal.verification$RegisteredInvocations.getAll();org/mockito/internal/verification/RegisteredInvocations.java;35;37;0.9297341850401813
171;org.mockito.internal.invocation$InvocationMatcher.getInvocation();org/mockito/internal/invocation/InvocationMatcher.java;45;47;0.8940861322893056
360;org.mockito.internal.creation$MockSettingsImpl.verboseLogging();org/mockito/internal/creation/MockSettingsImpl.java;90;95;0.8312384092314032
369;org.mockito.internal.invocation$Invocation.equals(Object);org/mockito/internal/invocation/Invocation.java;107;115;0.8227900267875541
632;org.mockito.internal.configuration$SpyAnnotationEngine.process(Class<?>,Object);org/mockito/internal/configuration/SpyAnnotationEngine.java;46;76;0.5493509169585823
649;org.mockito.internal.configuration.injection$SpyOnInjectedFieldsHandler.processInjection(Field,Object,Set<Object>);org/mockito/internal/configuration/injection/SpyOnInjectedFieldsHandler.java;30;56;0.5219451885431692
673;org.mockito.internal.debugging$VerboseMockInvocationLogger.VerboseMockInvocationLogger();org/mockito/internal/debugging/VerboseMockInvocationLogger.java;26;28;0.47455182361425924
