rank;signature;path;startLine;endLine;score
1;org.mockito.exceptions.verification$WantedButNotInvoked.toString();org/mockito/exceptions/verification/WantedButNotInvoked.java;18;21;0.5
2;org.mockito.exceptions$Reporter.wantedButNotInvoked(PrintableInvocation,List<? extends PrintableInvocation>);org/mockito/exceptions/Reporter.java;246;261;0.21320071635561041
3;org.mockito.internal.invocation$InvocationsFinder.findSimilarInvocation(List<Invocation>,InvocationMatcher);org/mockito/internal/invocation/InvocationsFinder.java;64;79;0.15075567228888181
4;org.mockito.internal.invocation$InvocationMatcher.hasSimilarMethod(Invocation);org/mockito/internal/invocation/InvocationMatcher.java;70;90;0.14433756729740646
5;org.mockito.internal.verification.checkers$MissingInvocationChecker.check(List<Invocation>,InvocationMatcher);org/mockito/internal/verification/checkers/MissingInvocationChecker.java;30;44;0.1414213562373095
6;org.mockito.exceptions$Reporter.createWantedButNotInvokedMessage(PrintableInvocation);org/mockito/exceptions/Reporter.java;263;270;0.12909944487358055
6;org.mockito.exceptions.verification$WantedButNotInvoked.WantedButNotInvoked(String);org/mockito/exceptions/verification/WantedButNotInvoked.java;14;16;0.12909944487358055
8;org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues.returnValueFor(Class<?>);org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java;73;111;0.08333333333333333
9;org.mockito.internal.stubbing$InvocationContainerImpl.findAnswerFor(Invocation);org/mockito/internal/stubbing/InvocationContainerImpl.java;70;80;0.08111071056538127
10;org.mockito.internal.util$Primitives.isPrimitiveWrapper(Class<?>);org/mockito/internal/util/Primitives.java;13;15;0.07905694150420949
11;org.mockito$Mockito.mock(Class<T>);org/mockito/Mockito.java;813;823;0.07352146220938077
13;org.mockito.internal.invocation$InvocationMatcher.hasSameMethod(Invocation);org/mockito/internal/invocation/InvocationMatcher.java;92;100;0.06804138174397717
73;org.mockito$Mockito.verify(T);org/mockito/Mockito.java;1119;1148;0.05913123959890826
77;org.mockito.internal.creation.jmock$ClassImposterizer.createProxyClass(Class<?>,Class<?>);org/mockito/internal/creation/jmock/ClassImposterizer.java;63;108;0.05897678246195885
105;org.mockito$Mockito.when(T);org/mockito/Mockito.java;1055;1117;0.05555555555555555
198;org.mockito.internal.stubbing.defaultanswers$ReturnsSmartNulls.answer(InvocationOnMock);org/mockito/internal/stubbing/defaultanswers/ReturnsSmartNulls.java;62;72;0.0
