corpus_id;path;startLine;endLine
org.mockito$Matchers.anyVararg();org/mockito/Matchers.java;197;222
org.mockito$MockitoAnnotations.scan(Object,Class<?>);org/mockito/MockitoAnnotations.java;92;111
org.mockito.exceptions$Reporter.misplacedArgumentMatcher(Location);org/mockito/exceptions/Reporter.java;396;411
org.mockito.internal$MockitoCore.getLastInvocation();org/mockito/internal/MockitoCore.java;129;137
org.mockito.internal.creation$MethodInterceptorFilter.intercept(Object,Method,Object[],MethodProxy);org/mockito/internal/creation/MethodInterceptorFilter.java;32;48
org.mockito.internal.creation.jmock$SearchingClassLoader.combineLoadersOf(Class<?>,Class<?>);org/mockito/internal/creation/jmock/SearchingClassLoader.java;27;50
org.mockito.internal.invocation$ArgumentsComparator.varArgsMatch(InvocationMatcher,Invocation);org/mockito/internal/invocation/ArgumentsComparator.java;33;69
org.mockito.internal.invocation$Invocation.expandVarArgs(boolean,Object[]);org/mockito/internal/invocation/Invocation.java;65;83
org.mockito.internal.invocation$Invocation.isValidReturnType(Class);org/mockito/internal/invocation/Invocation.java;174;180
org.mockito.internal.invocation$InvocationMatcher.captureArgumentsFrom(Invocation);org/mockito/internal/invocation/InvocationMatcher.java;103;111
org.mockito.internal.invocation$InvocationsFinder.findInvocations(List<Invocation>,InvocationMatcher);org/mockito/internal/invocation/InvocationsFinder.java;16;18
org.mockito.internal.matchers$AnyVararg.matches(Object);org/mockito/internal/matchers/AnyVararg.java;18;20
org.mockito.internal.matchers$ArrayEquals.createObjectArray(Object);org/mockito/internal/matchers/ArrayEquals.java;65;74
org.mockito.internal.matchers$CapturingMatcher.matches(Object);org/mockito/internal/matchers/CapturingMatcher.java;21;26
org.mockito.internal.matchers$LocalizedMatcher.getActualMatcher();org/mockito/internal/matchers/LocalizedMatcher.java;65;67
org.mockito.internal.runners$RunnerFactory.create(Class<?>);org/mockito/internal/runners/RunnerFactory.java;25;52
org.mockito.internal.stubbing$OngoingStubbingImpl.getRegisteredInvocations();org/mockito/internal/stubbing/OngoingStubbingImpl.java;32;35
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues.returnValueFor(Class<?>);org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java;73;111
org.mockito.internal.util$Primitives.primitiveTypeOf(Class<T>);org/mockito/internal/util/Primitives.java;21;23
