rank;signature;path;startLine;endLine;score
1;org.joda.time$DateTime.withEarlierOffsetAtOverlap();org/joda/time/DateTime.java;649;667;0.5773502691896258
1;org.joda.time$DateTime.withLaterOffsetAtOverlap();org/joda/time/DateTime.java;669;687;0.5773502691896258
1;org.joda.time$DateTimeZone.adjustOffset(long,boolean);org/joda/time/DateTimeZone.java;1156;1180;0.5773502691896258
4;org.joda.time$DateTime.DateTime(int,int,int,int,int,DateTimeZone);org/joda/time/DateTime.java;310;333;0.23570226039551587
5;org.joda.time$DateTime.plusHours(int);org/joda/time/DateTime.java;1074;1103;0.2182178902359924
6;org.joda.time.base$AbstractInstant.getZone();org/joda/time/base/AbstractInstant.java;65;72;0.13608276348795434
7;org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone.getOffset(long);org/joda/time/tz/DateTimeZoneBuilder.java;1527;1544;0.12909944487358055
8;org.joda.time.tz.CachedDateTimeZone$Info.getOffset(long);org/joda/time/tz/CachedDateTimeZone.java;195;203;0.0936585811581694
9;org.joda.time$DateTime.withMillis(long);org/joda/time/DateTime.java;572;583;0.07053456158585983
10;org.joda.time.chrono.ZonedChronology$ZonedDurationField.add(long,int);org/joda/time/chrono/ZonedChronology.java;317;321;0.06884283908215143
166;org.joda.time$DateTimeZone.forID(String);org/joda/time/DateTimeZone.java;187;224;0.017508866108269325
283;org.joda.time$DateTimeZone.DateTimeZone(String);org/joda/time/DateTimeZone.java;683;694;0.016590798971560294
300;org.joda.time$DateTimeZone.setDefault(DateTimeZone);org/joda/time/DateTimeZone.java;164;184;0.0
300;org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone.create(String,boolean,ArrayList<Transition>,DSTZone);org/joda/time/tz/DateTimeZoneBuilder.java;1379;1482;0.0
