rank;signature;path;startLine;endLine;score
1;org.joda.time.format.PeriodFormatterBuilder$FieldFormatter.getFieldValue(ReadablePeriod);org/joda/time/format/PeriodFormatterBuilder.java;1377;1461;1.0
2;org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone.create(String,boolean,ArrayList<Transition>,DSTZone);org/joda/time/tz/DateTimeZoneBuilder.java;1379;1482;0.9572414230022721
3;org.joda.time$PeriodType.forFields(DurationFieldType[]);org/joda/time/PeriodType.java;492;577;0.9183380431976526
4;org.joda.time$PeriodType.dayTime();org/joda/time/PeriodType.java;292;319;0.9012124753816423
5;org.joda.time$PeriodType.yearWeekDayTime();org/joda/time/PeriodType.java;178;208;0.8997114131560996
21;org.joda.time$DateTimeZone.getDefault();org/joda/time/DateTimeZone.java;120;162;0.7548536575478085
72;org.joda.time$DateTimeZone.forOffsetHoursMinutes(int,int);org/joda/time/DateTimeZone.java;240;273;0.5960895751439735
115;org.joda.time$Period.Period(long,Chronology);org/joda/time/Period.java;405;424;0.5652299186755502
138;org.joda.time.base$BasePeriod.BasePeriod(long);org/joda/time/base/BasePeriod.java;213;224;0.5500171113723308
207;org.joda.time$Period.Period(long);org/joda/time/Period.java;355;383;0.5055277922915261
265;org.joda.time$DateTimeZone.forOffsetHours(int);org/joda/time/DateTimeZone.java;226;238;0.4662548537233062
587;org.joda.time.base$AbstractDuration.toPeriod();org/joda/time/base/AbstractDuration.java;58;81;0.3594390808043836
804;org.joda.time$Period.getWeeks();org/joda/time/Period.java;716;723;0.3150727376723322
943;org.joda.time$Period.getMonths();org/joda/time/Period.java;707;714;0.28876443388046863
943;org.joda.time$Period.getYears();org/joda/time/Period.java;698;705;0.28876443388046863
1015;org.joda.time$Duration.toDuration();org/joda/time/Duration.java;286;294;0.27805216539244015
1077;org.joda.time$Duration.minus(long);org/joda/time/Duration.java;444;455;0.27165947028017895
1304;org.joda.time$Period.Period();org/joda/time/Period.java;279;299;0.23122776278266582
2272;org.joda.time.tz$FixedDateTimeZone.isFixed();org/joda/time/tz/FixedDateTimeZone.java;60;62;0.10508442071540534
3288;org.joda.time.tz$FixedDateTimeZone.getOffsetFromLocal(long);org/joda/time/tz/FixedDateTimeZone.java;56;58;0.0
