corpus_id;path;startLine;endLine
org.joda.time$DateTimeZone.getDefault();org/joda/time/DateTimeZone.java;120;162
org.joda.time$DateTimeZone.setDefault(DateTimeZone);org/joda/time/DateTimeZone.java;164;184
org.joda.time$DateTimeZone.forID(String);org/joda/time/DateTimeZone.java;187;224
org.joda.time$DateTimeZone.forTimeZone(TimeZone);org/joda/time/DateTimeZone.java;286;338
org.joda.time$DateTimeZone.fixedOffsetZone(String,int);org/joda/time/DateTimeZone.java;341;366
org.joda.time$DateTimeZone.getAvailableIDs();org/joda/time/DateTimeZone.java;368;375
org.joda.time$DateTimeZone.getConvertedId(String);org/joda/time/DateTimeZone.java;552;598
org.joda.time$DateTimeZone.DateTimeZone(String);org/joda/time/DateTimeZone.java;682;693
org.joda.time.tz$CachedDateTimeZone.forZone(DateTimeZone);org/joda/time/tz/CachedDateTimeZone.java;64;72
org.joda.time.tz$CachedDateTimeZone.CachedDateTimeZone(DateTimeZone);org/joda/time/tz/CachedDateTimeZone.java;86;90
org.joda.time.tz$DateTimeZoneBuilder.readFrom(InputStream,String);org/joda/time/tz/DateTimeZoneBuilder.java;87;100
org.joda.time.tz$DateTimeZoneBuilder.readFrom(DataInput,String);org/joda/time/tz/DateTimeZoneBuilder.java;102;125
org.joda.time.tz$ZoneInfoCompiler.writeZoneInfoMap(DataOutputStream,Map<String,DateTimeZone>);org/joda/time/tz/ZoneInfoCompiler.java;161;205
org.joda.time.tz$ZoneInfoCompiler.compile(File,File[]);org/joda/time/tz/ZoneInfoCompiler.java;360;453
org.joda.time.tz.ZoneInfoCompiler$Zone.addToBuilder(Zone,DateTimeZoneBuilder,Map<String,RuleSet>);org/joda/time/tz/ZoneInfoCompiler.java;789;820
org.joda.time.tz$ZoneInfoProvider.getZone(String);org/joda/time/tz/ZoneInfoProvider.java;127;163
org.joda.time.tz$ZoneInfoProvider.loadZoneData(String);org/joda/time/tz/ZoneInfoProvider.java;217;242
