rank;signature;path;startLine;endLine;score
1;org.joda.time$DateTime.DateTime(long,DateTimeZone);org/joda/time/DateTime.java;150;161;1.0
2;org.joda.time$DateTime.DateTime(int,int,int,int,int,DateTimeZone);org/joda/time/DateTime.java;264;287;0.9999501967229444
3;org.joda.time.chrono$BasicGJChronology.setYear(long,int);org/joda/time/chrono/BasicGJChronology.java;174;199;0.9999003934458888
4;org.joda.time.tz$CachedDateTimeZone.createInfo(long);org/joda/time/tz/CachedDateTimeZone.java;159;175;0.9998505901688332
5;org.joda.time.base$BaseDateTime.BaseDateTime(long,DateTimeZone);org/joda/time/base/BaseDateTime.java;100;111;0.9997509836147218
6;org.joda.time$DateTimeZone.getOffsetFromLocal(long);org/joda/time/DateTimeZone.java;846;901;0.9997011803376662
67;org.joda.time$DateTimeZone.forID(String);org/joda/time/DateTimeZone.java;187;224;0.9883460331689825
105;org.joda.time.chrono$BasicGJChronology.getMonthOfYear(long,int);org/joda/time/chrono/BasicGJChronology.java;79;109;0.983564918571642
126;org.joda.time$DateTimeZone.DateTimeZone(String);org/joda/time/DateTimeZone.java;682;693;0.9791822301907466
305;org.joda.time$DateTimeZone.fixedOffsetZone(String,int);org/joda/time/DateTimeZone.java;341;366;0.9463618706110862
431;org.joda.time$DateTimeZone.parseOffset(String);org/joda/time/DateTimeZone.java;600;618;0.9300263957368394
3042;org.joda.time.tz$ZoneInfoCompiler.test(String,DateTimeZone);org/joda/time/tz/ZoneInfoCompiler.java;265;343;0.13187907764330892
3044;org.joda.time.tz$ZoneInfoCompiler.compile(File,File[]);org/joda/time/tz/ZoneInfoCompiler.java;360;453;0.12963793017580558
3047;org.joda.time.tz.DateTimeZoneBuilder$OfYear.next(long,int,int);org/joda/time/tz/DateTimeZoneBuilder.java;544;584;0.11360127496389262
3048;org.joda.time.tz.CachedDateTimeZone$Info.getOffset(long);org/joda/time/tz/CachedDateTimeZone.java;203;211;0.11345186513272573
3049;org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset.printTo(StringBuffer,long,Chronology,int,DateTimeZone,Locale);org/joda/time/format/DateTimeFormatterBuilder.java;2080;2137;0.11325265202450321
3283;org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone.create(String,boolean,ArrayList<Transition>,DSTZone);org/joda/time/tz/DateTimeZoneBuilder.java;1379;1482;0.01703272075302555
